Complexity,Loss,Equation
1,0.9999998,"9.84095e-6"
3,0.48735812,"x8 * -0.71600014"
5,0.38188693,"-0.3501847 * (x8 + x5)"
7,0.23317745,"((-2.939778e-7 - x5) - x8) * 0.6257486"
9,0.18668978,"(x23 - ((x8 + x5) / -0.14324695)) * -0.08976731"
11,0.14086242,"(x23 - ((5.8181677e-6 - (x5 + x8)) / 0.48384848)) * -0.30402076"
13,0.098575905,"(((x20 * -0.5070807) - x23) - ((x5 + x8) / 0.4912959)) * 0.30560845"
17,0.06747066,"((((x20 * -0.6487133) - x23) - (((x8 + x5) / 0.54939574) + x12)) - x8) * 0.26766038"
19,0.0576439,"(((((x20 * -0.7950247) - x23) - 0.0017651388) - (x3 + ((x5 + x8) / 0.54939574))) - x8) * 0.26766038"
21,0.049586754,"((((x20 * -0.97652906) - (x23 - (x12 * -0.079954006))) - (((x5 + x8) / 0.43879566) + x7)) - x8) * 0.22395937"
