Complexity,Loss,Equation
1,0.9999998,"-8.32508e-6"
3,0.27576682,"x14 / -1.1750493"
5,0.16189998,"(x29 / -2.7105925) - x14"
7,0.10743212,"((x29 + x7) / -3.2029014) - x14"
9,0.09340068,"((x29 / -2.348932) - x14) - (x12 * 0.29717734)"
11,0.066868976,"((x11 * -0.27847636) + (x29 / -2.7432392)) - (x14 * 0.8535106)"
13,0.06375322,"((x11 + x9) * -0.12394207) + ((x29 / -2.7420275) - (x14 * 0.85464317))"
15,0.059039928,"(((x11 * 1.5539922) + x9) * -0.12394207) + ((x29 / -2.7420275) - (x14 * 0.85464317))"
20,0.057130907,"(x29 / -2.716293) - ((square(x14 * -0.30160588) - (0.00326453 - (x14 - ((x13 + x4) / -6.692376)))) / 1.1703048)"
22,0.046373338,"(x29 / -2.716293) - (square(x14 * -0.30160588) - ((0.00326453 - (x14 - ((x11 + (x13 - 0.92227215)) / -6.692376))) / 1.1703048))"
