Complexity,Loss,Equation
1,0.9999998,"8.492583e-5"
3,0.6463386,"x5 * -0.5946742"
5,0.29798678,"(x5 + x8) / -1.6702616"
7,0.29784742,"(x8 + (x5 / 0.9726378)) * -0.5904366"
9,0.20609924,"(((x23 * -0.5041249) - x5) - x8) * 0.6013441"
11,0.116770834,"((((x20 + x23) * -0.49821764) - x8) - x5) * 0.60691446"
13,0.11677082,"(((((x20 + x23) * -0.49824294) + 5.46973e-7) - x8) - x5) * 0.60689557"
15,0.06925221,"((((x23 + x4) * -0.4445657) + ((x20 * -0.5082893) - x8)) - x5) * 0.5939578"
19,0.057521027,"(((((x23 + x20) * -0.5046653) + ((x3 + (x4 + -0.00013471636)) * -0.22313744)) - x8) - x5) * 0.59449404"
21,0.048288167,"(((x23 + x20) * -0.49999747) + ((((x29 + (x7 + (x3 * 1.244408))) * -0.19242503) - x8) - x5)) * 0.59733063"
