Complexity,Loss,Equation
1,0.9999998,"9.869858e-6"
3,0.6463386,"x5 / -1.6812464"
5,0.29798678,"(x8 + x5) / -1.6702627"
7,0.29784742,"(x5 - (x8 / -1.0279565)) * -0.60697037"
9,0.20609923,"(x23 * -0.30315208) - ((x8 + x5) * 0.60134405)"
13,0.11740165,"((((x23 - x20) * 0.46825948) - x23) - (x8 + x5)) / 1.671622"
15,0.11675013,"(((((x23 - x20) * 0.49448693) - x23) - (x8 + x5)) / 0.8352424) * 0.5065325"
17,0.077569164,"(((-0.057625268 - ((x0 - (x23 - x20)) * 0.46679893)) - x23) - (x8 + x5)) / 1.704424"
19,0.067761175,"(((((-0.0010908416 - x7) / 2.8198133) - ((x23 - x20) * -0.49223846)) - x23) - (x5 + x8)) / 1.6667211"
21,0.06350215,"(((((x6 * -0.9469478) - (x0 - ((x23 - x20) * 1.8518703))) * 0.2520689) - x23) - (x5 + x8)) / 1.704424"
23,0.060386162,"(((((x6 * -0.50999564) - ((x10 - ((x23 - x20) * 1.8054085)) + x29)) * 0.2628131) - x23) - (x8 + x5)) / 1.5988542"
25,0.056610677,"(((((x6 * -0.50999564) - ((x10 - ((x23 - x20) * 1.8054085)) + (x29 * 0.5091074))) * 0.2628131) - x23) - (x8 + x5)) / 1.5988542"
27,0.05393809,"(((((x6 * -0.88196605) - (((x10 - (x23 - (x20 * 2.183053))) + x29) - (x23 * 1.1697826))) * 0.22077768) - x23) - (x8 + x5)) / 1.6865325"
