Complexity,Loss,Equation
1,0.9999998,"2.0472423e-7"
3,0.4538272,"x14 / -1.3531445"
5,0.3324062,"(x29 * -0.43535325) - x14"
7,0.24644513,"((x12 + x29) * -0.37526092) - x14"
9,0.17842129,"((x29 + x12) * -0.37526092) - (x14 * 0.73918587)"
11,0.17291562,"((x29 + (x10 * 0.74138385)) * -0.42895716) - (x14 * 0.7432311)"
15,0.1679815,"(((x13 + (((x29 + x14) * 2.336327) + x11)) + x14) - -0.097852066) * -0.2048084"
17,0.14768654,"(x13 + (x14 + (((x20 + (x14 + (x29 + x29))) + x6) + x14))) * -0.22327887"
20,0.14126126,"(x29 + (x14 + (((((square(x14) + x9) + x23) * 0.36121094) + (x13 - 0.36125955)) + x14))) * -0.35109082"
23,0.12275174,"(((x13 + x4) - (x20 / -0.7296786)) * -0.1318389) + ((((x29 * -0.5691505) + ((x9 * -0.19125725) - x14)) - -2.7133337e-6) * 0.75088346)"
25,0.12248028,"((((x13 + x4) / 1.0640212) - (x20 / -0.7296786)) * -0.1318389) + ((((x29 * -0.5691505) + ((x9 * -0.19125725) - x14)) - -2.7133337e-6) * 0.75088346)"
27,0.1208277,"((((x13 + (x7 + x4)) / 1.3682454) - (x20 / -0.64855665)) * -0.121278845) + ((((x29 * -0.5662838) + ((x9 * -0.17029855) - x14)) - 6.6624734e-6) * 0.75106245)"
